employee_ID,skill_ID,rating,lastUsedOn
1f2a3b4c-1111-4d55-9a10-abcde0000001,2a111111-aaaa-4aaa-baaa-111111111111,1,2025-01-01
1f2a3b4c-1111-4d55-9a10-abcde0000002,2a111111-aaaa-4aaa-baaa-222222222222,2,2025-01-01
1f2a3b4c-1111-4d55-9a10-abcde0000003,2a111111-aaaa-4aaa-baaa-333333333333,3,2025-01-01
1f2a3b4c-1111-4d55-9a10-abcde0000004,2a111111-aaaa-4aaa-baaa-444444444444,4,2025-01-01
1f2a3b4c-1111-4d55-9a10-abcde0000005,2a111111-aaaa-4aaa-baaa-555555555555,5,2025-01-01
1f2a3b4c-1111-4d55-9a10-abcde0000006,2a111111-aaaa-4aaa-baaa-666666666666,1,2025-01-01
1f2a3b4c-1111-4d55-9a10-abcde0000007,2a111111-aaaa-4aaa-baaa-111111111111,2,2025-01-01
1f2a3b4c-1111-4d55-9a10-abcde0000008,2a111111-aaaa-4aaa-baaa-222222222222,3,2025-01-01
1f2a3b4c-1111-4d55-9a10-abcde0000009,2a111111-aaaa-4aaa-baaa-333333333333,4,2025-01-01
1f2a3b4c-1111-4d55-9a10-abcde0000010,2a111111-aaaa-4aaa-baaa-444444444444,5,2025-01-01
