ID,employee_ID,project_ID,allocationPercent,fromDate,toDate
4c333333-cccc-4ccc-cccc-000000000001,1f2a3b4c-1111-4d55-9a10-abcde0000001,3b222222-bbbb-4bbb-bbbb-111111111111,50,2024-01-01,2024-06-30
4c333333-cccc-4ccc-cccc-000000000002,1f2a3b4c-1111-4d55-9a10-abcde0000002,3b222222-bbbb-4bbb-bbbb-222222222222,50,2024-01-01,2024-06-30
4c333333-cccc-4ccc-cccc-000000000003,1f2a3b4c-1111-4d55-9a10-abcde0000003,3b222222-bbbb-4bbb-bbbb-333333333333,50,2024-01-01,2024-06-30
4c333333-cccc-4ccc-cccc-000000000004,1f2a3b4c-1111-4d55-9a10-abcde0000004,3b222222-bbbb-4bbb-bbbb-111111111111,50,2024-01-01,2024-06-30
4c333333-cccc-4ccc-cccc-000000000005,1f2a3b4c-1111-4d55-9a10-abcde0000005,3b222222-bbbb-4bbb-bbbb-222222222222,50,2024-01-01,2024-06-30
4c333333-cccc-4ccc-cccc-000000000006,1f2a3b4c-1111-4d55-9a10-abcde0000006,3b222222-bbbb-4bbb-bbbb-333333333333,50,2024-01-01,2024-06-30
4c333333-cccc-4ccc-cccc-000000000007,1f2a3b4c-1111-4d55-9a10-abcde0000007,3b222222-bbbb-4bbb-bbbb-111111111111,50,2024-01-01,2024-06-30
4c333333-cccc-4ccc-cccc-000000000008,1f2a3b4c-1111-4d55-9a10-abcde0000008,3b222222-bbbb-4bbb-bbbb-222222222222,50,2024-01-01,2024-06-30
4c333333-cccc-4ccc-cccc-000000000009,1f2a3b4c-1111-4d55-9a10-abcde0000009,3b222222-bbbb-4bbb-bbbb-333333333333,50,2024-01-01,2024-06-30
4c333333-cccc-4ccc-cccc-000000000010,1f2a3b4c-1111-4d55-9a10-abcde0000010,3b222222-bbbb-4bbb-bbbb-111111111111,50,2024-01-01,2024-06-30
